"","full_name","position","team","targets","rec","rec_yards","air_yards","yac","td","adot","racr","ms_air","tgt_share","wopr","scaled_wopr"
"1","Adam Thielen","WR","MIN",43,29,364,626,47,6,14.6,0.58,0.46,0.32,0.8,100
"2","DK Metcalf","WR","SEA",41,22,496,717,118,5,17.5,0.69,0.5,0.25,0.73,91.2
"3","Marquise Brown","WR","BAL",36,22,319,597,95,1,16.6,0.53,0.45,0.27,0.72,90
"4","DeAndre Hopkins","WR","ARI",53,45,528,437,202,2,8.2,1.21,0.32,0.31,0.69,86.2
"5","Robby Anderson","WR","CAR",47,36,489,435,219,1,9.3,1.12,0.38,0.27,0.68,85
"6","Terry McLaurin","WR","WAS",45,29,413,466,217,1,10.4,0.89,0.42,0.26,0.68,85
"7","Allen Robinson","WR","CHI",56,35,421,604,115,2,10.8,0.7,0.34,0.28,0.66,82.5
"8","Jamison Crowder","WR","NYJ",33,22,335,277,175,2,8.4,1.21,0.29,0.31,0.66,82.5
"9","Keenan Allen","WR","LAC",49,34,356,410,157,2,8.4,0.87,0.29,0.3,0.66,82.5
"10","Odell Beckham Jr.","WR","CLE",37,21,294,490,44,3,13.2,0.6,0.38,0.26,0.66,82.5
"11","Calvin Ridley","WR","ATL",49,29,485,780,79,4,15.9,0.62,0.4,0.25,0.65,81.2
"12","Darius Slayton","WR","NYG",40,23,365,497,75,2,12.4,0.73,0.43,0.23,0.65,81.2
"13","Julian Edelman","WR","NE",30,18,294,347,59,0,11.6,0.85,0.41,0.24,0.65,81.2
"14","Jeff Smith","WR","NYJ",20,10,104,247,26,0,12.3,0.42,0.34,0.27,0.64,80
"15","Stefon Diggs","WR","BUF",50,36,509,526,84,2,10.5,0.97,0.34,0.27,0.64,80
"16","Davante Adams","WR","GB",20,17,192,182,57,2,9.1,1.05,0.27,0.28,0.61,76.2
"17","A.J. Brown","WR","TEN",17,12,121,142,36,1,8.4,0.85,0.31,0.25,0.59,73.8
"18","D.J. Moore","WR","CAR",36,22,381,440,111,1,12.2,0.87,0.39,0.21,0.58,72.5
"19","Kenny Golladay","WR","DET",15,10,119,164,20,2,10.9,0.73,0.31,0.24,0.58,72.5
"20","Travis Fulgham","WR","PHI",15,12,209,192,39,2,12.8,1.09,0.31,0.24,0.58,72.5
"21","Amari Cooper","WR","DAL",55,39,424,510,142,1,9.3,0.83,0.28,0.24,0.55,68.8
"22","Parris Campbell","WR","IND",9,6,71,104,21,0,11.6,0.68,0.37,0.2,0.55,68.8
"23","Tyreek Hill","WR","KC",35,22,364,569,101,4,16.3,0.64,0.39,0.19,0.55,68.8
"24","T.Y. Hilton","WR","IND",31,19,231,394,46,0,12.7,0.59,0.34,0.2,0.54,67.5
"25","Cooper Kupp","WR","LA",36,28,363,211,219,2,5.9,1.72,0.24,0.24,0.53,66.2
"26","Emmanuel Sanders","WR","NO",36,26,304,322,52,2,8.9,0.94,0.3,0.21,0.52,65
"27","Marquez Valdes-Scantling","WR","GB",25,12,210,431,56,1,17.2,0.49,0.35,0.19,0.52,65
"28","Tyler Lockett","WR","SEA",38,30,342,345,103,4,9.1,0.99,0.24,0.23,0.52,65
"29","Will Fuller","WR","HOU",32,22,332,436,63,3,13.6,0.76,0.29,0.2,0.5,62.5
"30","Corey Davis","WR","TEN",20,15,206,198,63,1,9.9,1.04,0.25,0.2,0.48,60
"31","Damiere Byrd","WR","NE",22,14,179,257,48,0,11.7,0.7,0.3,0.18,0.48,60
"32","A.J. Green","WR","CIN",34,14,119,512,20,0,15.1,0.23,0.31,0.17,0.47,58.7
"33","Brandin Cooks","WR","HOU",31,18,299,397,96,1,12.8,0.75,0.26,0.19,0.47,58.7
"34","Diontae Johnson","WR","PIT",28,15,147,244,70,1,8.7,0.6,0.25,0.2,0.47,58.7
"35","Jerry Jeudy","WR","DEN",26,15,234,353,76,1,13.6,0.66,0.26,0.19,0.47,58.7
"36","Michael Thomas","WR","NO",5,3,17,44,2,0,8.8,0.39,0.31,0.17,0.47,58.7
"37","N'Keal Harry","WR","NE",28,18,166,160,90,1,5.7,1.04,0.19,0.22,0.47,58.7
"38","Adam Humphries","WR","TEN",20,15,136,172,25,1,8.6,0.79,0.21,0.2,0.46,57.5
"39","DeVante Parker","WR","MIA",32,26,329,318,70,2,9.9,1.03,0.24,0.19,0.46,57.5
"40","Mike Williams","WR","LAC",22,12,209,379,43,2,17.2,0.55,0.31,0.16,0.46,57.5
"41","Robert Woods","WR","LA",32,23,300,169,194,2,5.3,1.78,0.19,0.22,0.46,57.5
"42","Christian Kirk","WR","ARI",21,11,154,341,25,1,16.2,0.45,0.32,0.15,0.45,56.2
"43","DeSean Jackson","WR","PHI",20,10,121,338,21,0,16.9,0.36,0.31,0.16,0.45,56.2
"44","Justin Jefferson","WR","MIN",25,19,371,329,121,1,13.2,1.13,0.24,0.19,0.45,56.2
"45","Tyler Boyd","WR","CIN",40,32,362,361,98,1,9,1,0.22,0.2,0.45,56.2
"46","Jarvis Landry","WR","CLE",27,21,279,278,76,0,10.3,1,0.22,0.19,0.44,55
"47","Mike Evans","WR","TB",35,22,271,375,75,6,10.7,0.72,0.23,0.18,0.44,55
"48","John Brown","WR","BUF",23,14,194,302,42,2,13.1,0.64,0.26,0.16,0.42,52.5
"49","Allen Lazard","WR","GB",17,13,254,216,94,2,12.7,1.18,0.23,0.17,0.41,51.2
"50","Henry Ruggs III","WR","LV",11,6,177,233,65,1,21.2,0.76,0.34,0.12,0.41,51.2
"51","CeeDee Lamb","WR","DAL",39,29,433,394,125,2,10.1,1.1,0.21,0.17,0.4,50
"52","Chris Godwin","WR","TB",13,11,143,110,53,1,8.5,1.3,0.18,0.18,0.4,50
"53","Chase Claypool","WR","PIT",19,13,261,272,121,4,14.3,0.96,0.28,0.13,0.39,48.8
"54","Julio Jones","WR","ATL",20,15,213,274,57,0,13.7,0.78,0.22,0.16,0.39,48.8
"55","Preston Williams","WR","MIA",23,10,195,340,19,2,14.8,0.57,0.26,0.14,0.39,48.8
"56","Brandon Aiyuk","WR","SF",22,12,153,206,37,0,9.4,0.74,0.21,0.16,0.38,47.5
"57","Kendrick Bourne","WR","SF",26,15,227,262,107,1,10.1,0.87,0.21,0.15,0.38,47.5
"58","Tim Patrick","WR","DEN",21,16,209,282,37,2,13.4,0.74,0.21,0.16,0.38,47.5
"59","Chris Hogan","WR","NYJ",26,14,118,245,42,0,9.4,0.48,0.19,0.16,0.37,46.2
"60","Tee Higgins","WR","CIN",28,16,214,382,69,2,13.6,0.56,0.23,0.14,0.37,46.2
"61","D.J. Chark","WR","JAC",20,18,220,234,33,3,11.7,0.94,0.21,0.14,0.36,45
"62","Danny Amendola","WR","DET",21,10,177,217,81,0,10.3,0.82,0.18,0.16,0.36,45
"63","Golden Tate","WR","NYG",23,18,145,133,46,0,5.8,1.09,0.15,0.17,0.36,45
"64","Isaiah Ford","WR","MIA",27,17,174,224,43,0,8.3,0.78,0.17,0.16,0.36,45
"65","Keelan Cole","WR","JAC",28,21,219,264,63,3,9.4,0.83,0.19,0.15,0.36,45
"66","Cole Beasley","WR","BUF",30,24,313,241,97,1,8,1.3,0.16,0.16,0.35,43.7
"67","Hunter Renfrow","WR","LV",24,17,241,240,101,1,10,1,0.2,0.14,0.35,43.7
"68","JuJu Smith-Schuster","WR","PIT",25,21,188,115,127,3,4.6,1.63,0.12,0.18,0.35,43.7
"69","Michael Gallup","WR","DAL",27,17,348,453,56,1,16.8,0.77,0.25,0.12,0.35,43.7
"70","Courtland Sutton","WR","DEN",5,3,66,103,6,0,20.6,0.64,0.2,0.13,0.34,42.5
"71","Deebo Samuel","WR","SF",11,5,54,100,38,0,9.1,0.54,0.17,0.14,0.34,42.5
"72","Laviska Shenault Jr.","WR","JAC",28,23,270,203,136,1,7.2,1.33,0.14,0.15,0.33,41.2
"73","Marvin Jones","WR","DET",19,12,138,201,37,1,10.6,0.69,0.17,0.14,0.33,41.2
"74","Zach Pascal","WR","IND",21,12,144,212,41,1,10.1,0.68,0.18,0.13,0.33,41.2
"75","Darnell Mooney","WR","CHI",25,15,160,341,25,1,13.6,0.47,0.19,0.13,0.32,40
"76","Greg Ward","WR","PHI",31,22,172,184,66,2,5.9,0.93,0.11,0.16,0.32,40
"77","Sammy Watkins","WR","KC",28,21,222,187,80,2,6.7,1.19,0.13,0.15,0.32,40
"78","Braxton Berrios","WR","NYJ",17,10,123,175,46,2,10.3,0.7,0.17,0.13,0.31,38.7
"79","Chris Conley","WR","JAC",21,13,190,294,75,0,14,0.65,0.21,0.11,0.31,38.7
"80","Dontrelle Inman","WR","WAS",21,12,103,200,31,2,9.5,0.52,0.18,0.12,0.31,38.7
"81","Josh Reynolds","WR","LA",16,12,181,184,44,0,11.5,0.98,0.21,0.11,0.31,38.7
"82","Russell Gage","WR","ATL",30,21,224,234,75,1,7.8,0.96,0.12,0.15,0.31,38.7
"83","Scott Miller","WR","TB",21,15,250,341,49,1,16.2,0.73,0.21,0.11,0.31,38.7
"84","Sterling Shepard","WR","NYG",10,8,76,75,14,0,7.5,1.01,0.16,0.13,0.31,38.7
"85","KeeSean Johnson","WR","ARI",8,3,29,112,14,0,14,0.26,0.17,0.12,0.3,37.5
"86","Randall Cobb","WR","HOU",24,19,260,171,119,1,7.1,1.52,0.11,0.15,0.3,37.5
"87","Tre'Quan Smith","WR","NO",21,16,194,176,58,2,8.4,1.1,0.16,0.12,0.3,37.5
"88","Anthony Miller","WR","CHI",23,13,161,295,32,2,12.8,0.55,0.17,0.12,0.29,36.2
"89","Curtis Samuel","WR","CAR",23,19,183,145,64,0,6.3,1.26,0.13,0.13,0.29,36.2
"90","James Washington","WR","PIT",17,13,117,148,52,1,8.7,0.79,0.15,0.12,0.28,35
"91","K.J. Hamler","WR","DEN",12,6,78,165,6,0,13.8,0.47,0.15,0.12,0.28,35
"92","Larry Fitzgerald","WR","ARI",24,18,123,117,68,0,4.9,1.05,0.08,0.14,0.27,33.8
"93","Miles Boykin","WR","BAL",16,10,111,173,49,0,10.8,0.64,0.13,0.12,0.27,33.8
"94","Jalen Reagor","WR","PHI",7,5,96,152,31,0,21.7,0.63,0.19,0.08,0.26,32.5
"95","Michael Pittman","WR","IND",12,9,73,64,36,0,5.3,1.14,0.1,0.12,0.26,32.5
"96","Isaiah Wright","WR","WAS",13,9,47,56,43,0,4.3,0.84,0.1,0.12,0.25,31.2
"97","Gabriel Davis","WR","BUF",17,13,187,230,34,2,13.5,0.81,0.15,0.09,0.24,30
"98","Lawrence Cager","WR","NYJ",6,2,35,89,10,0,14.8,0.39,0.15,0.09,0.24,30
"99","Quintez Cephus","WR","DET",13,6,97,152,43,0,11.7,0.64,0.13,0.1,0.24,30
"100","Breshad Perriman","WR","NYJ",7,5,29,40,15,0,5.7,0.72,0.1,0.11,0.23,28.7
"101","John Hightower","WR","PHI",15,7,57,281,26,0,18.7,0.2,0.16,0.08,0.23,28.7
"102","Justin Watson","WR","TB",11,7,94,108,19,0,9.8,0.87,0.12,0.1,0.23,28.7
"103","DaeSean Hamilton","WR","DEN",10,3,32,205,4,0,20.5,0.16,0.15,0.07,0.22,27.5
"104","Kenny Stills","WR","HOU",14,8,104,183,14,1,13.1,0.57,0.12,0.09,0.22,27.5
"105","KhaDarel Hodge","WR","CLE",6,3,51,98,7,0,16.3,0.52,0.14,0.08,0.22,27.5
"106","Mecole Hardman","WR","KC",17,13,194,167,105,2,9.8,1.16,0.11,0.09,0.22,27.5
"107","Olamide Zaccheaus","WR","ATL",19,14,150,209,46,0,11,0.72,0.11,0.1,0.22,27.5
"108","Darrius Shepherd","WR","GB",4,2,21,91,1,0,22.8,0.23,0.16,0.06,0.21,26.2
"109","Jalen Guyton","WR","LAC",10,6,174,241,53,2,24.1,0.72,0.17,0.06,0.21,26.2
"110","Josh Malone","WR","NYJ",6,4,16,24,6,0,4,0.67,0.07,0.1,0.21,26.2
"111","Van Jefferson","WR","LA",9,5,76,144,8,0,16,0.53,0.16,0.06,0.21,26.2
"112","Andy Isabella","WR","ARI",13,10,147,167,39,2,12.8,0.88,0.12,0.08,0.2,25
"113","Bisi Johnson","WR","MIN",10,5,93,172,28,0,17.2,0.54,0.13,0.08,0.2,25
"114","Marcus Johnson","WR","IND",4,4,80,70,10,0,17.5,1.14,0.14,0.07,0.2,25
"115","David Moore","WR","SEA",13,10,173,142,76,2,10.9,1.22,0.1,0.08,0.19,23.8
"116","John Ross","WR","CIN",7,2,17,84,4,0,12,0.2,0.11,0.07,0.19,23.8
"117","Willie Snead","WR","BAL",12,10,117,97,37,1,8.1,1.21,0.07,0.09,0.19,23.8
"118","Kalif Raymond","WR","TEN",7,5,144,138,28,0,19.7,1.04,0.14,0.06,0.18,22.5
"119","Nelson Agholor","WR","LV",11,10,185,140,52,3,12.7,1.32,0.12,0.07,0.18,22.5
"120","Steven Sims","WR","WAS",8,6,103,75,68,0,9.4,1.37,0.09,0.08,0.18,22.5
"121","Demarcus Robinson","WR","KC",14,8,50,119,34,0,8.5,0.42,0.08,0.08,0.17,21.2
"122","Deonte Harris","WR","NO",11,7,55,43,55,0,3.9,1.28,0.06,0.09,0.17,21.2
"123","Zay Jones","WR","LV",13,9,81,97,33,1,7.5,0.84,0.08,0.08,0.17,21.2
"124","Ced Wilson","WR","DAL",17,12,163,134,105,2,7.9,1.22,0.07,0.07,0.16,20
"125","Jakeem Grant","WR","MIA",12,9,88,104,24,0,8.7,0.85,0.08,0.07,0.16,20
"126","Bryan Edwards","WR","LV",6,5,99,56,47,0,9.3,1.77,0.08,0.06,0.15,18.7
"127","Damion Ratley","WR","NYG",10,4,63,105,10,0,10.5,0.6,0.09,0.06,0.15,18.7
"128","C.J. Board","WR","NYG",8,6,58,104,11,0,13,0.56,0.09,0.05,0.13,16.2
"129","DeAndre Carter","WR","HOU",2,1,8,17,4,0,8.5,0.47,0.06,0.06,0.13,16.2
"130","Rashard Higgins","WR","CLE",4,4,40,37,3,1,9.2,1.08,0.06,0.06,0.13,16.2
"131","Collin Johnson","WR","JAC",10,5,47,86,9,1,8.6,0.55,0.06,0.05,0.12,15
"132","Devin Duvernay","WR","BAL",9,7,59,36,41,0,4,1.64,0.03,0.07,0.12,15
"133","Marquez Callaway","WR","NO",7,5,50,60,14,0,8.6,0.83,0.06,0.05,0.12,15
"134","Marvin Hall","WR","DET",4,2,50,132,9,1,33,0.38,0.11,0.03,0.12,15
"135","Trent Taylor","WR","SF",10,5,37,62,25,0,6.2,0.6,0.05,0.06,0.12,15
"136","Mike Thomas","WR","CIN",11,10,68,68,12,1,6.2,1,0.04,0.06,0.11,13.7
"137","Ray-Ray McCloud","WR","PIT",3,3,12,-5,17,0,-1.7,-2.4,-0.03,0.09,0.11,13.7
"138","Ted Ginn","WR","CHI",6,3,40,116,13,0,19.3,0.34,0.08,0.04,0.11,13.7
"139","Auden Tate","WR","CIN",6,4,56,68,14,0,11.3,0.82,0.06,0.04,0.1,12.5
"140","Noah Brown","WR","DAL",9,7,80,105,21,0,11.7,0.76,0.06,0.04,0.1,12.5
"141","Rico Gafford","WR","LV",1,0,0,22,0,0,22,0,0.08,0.03,0.1,12.5
"142","Bennie Fowler","WR","NO",6,2,11,40,1,0,6.7,0.28,0.04,0.04,0.09,11.2
"143","Brandon Powell","WR","ATL",5,3,27,47,10,0,9.4,0.57,0.04,0.04,0.09,11.2
"144","Freddie Swain","WR","SEA",8,7,97,34,69,1,4.2,2.85,0.02,0.05,0.09,11.2
"145","Isaiah McKenzie","WR","BUF",12,11,95,-4,100,1,-0.3,-23.75,0,0.06,0.09,11.2
"146","Jamal Agnew","WR","DET",6,4,21,40,33,0,6.7,0.52,0.03,0.04,0.09,11.2
"147","K.J. Hill","WR","LAC",6,2,23,48,0,0,8,0.48,0.04,0.04,0.09,11.2
"148","Keke Coutee","WR","HOU",2,2,11,1,10,0,0.5,11,0,0.06,0.09,11.2
"149","Nick Westbrook","WR","TEN",3,1,7,39,4,0,13,0.18,0.05,0.04,0.09,11.2
"150","Tyler Johnson","WR","TB",5,4,61,43,29,0,8.6,1.42,0.04,0.04,0.09,11.2
"151","Tyron Johnson","WR","LAC",1,1,53,49,4,1,49,1.08,0.09,0.02,0.09,11.2
"152","Cameron Batson","WR","TEN",2,2,26,24,2,0,12,1.08,0.04,0.04,0.08,10
"153","Deontay Burnett","WR","PHI",3,3,19,14,5,0,4.7,1.36,0.03,0.04,0.08,10
"154","Seth Roberts","WR","CAR",6,4,31,46,21,0,7.7,0.67,0.04,0.03,0.08,10
"155","Chad Beebe","WR","MIN",3,2,18,13,8,0,4.3,1.38,0.02,0.04,0.07,8.8
"156","Cordarrelle Patterson","WR","CHI",7,7,58,41,52,0,5.9,1.41,0.02,0.04,0.07,8.8
"157","Tajae Sharpe","WR","MIN",1,0,0,34,0,0,34,0,0.06,0.02,0.07,8.8
"158","Antonio Gandy-Golden","WR","WAS",4,1,3,23,1,0,5.8,0.13,0.03,0.03,0.06,7.5
"159","Ashton Dulin","WR","IND",3,2,40,25,16,0,8.3,1.6,0.03,0.03,0.06,7.5
"160","Christian Blake","WR","ATL",5,3,47,70,6,0,14,0.67,0.04,0.03,0.06,7.5
"161","Gunner Olszewski","WR","NE",1,1,11,8,3,0,8,1.38,0.03,0.03,0.06,7.5
"162","Cyril Grayson","WR","TB",1,0,0,26,0,0,26,0,0.04,0.01,0.05,6.2
"163","Dante Pettis","WR","SF",1,0,0,32,0,0,32,0,0.05,0.01,0.05,6.2
"164","Daurice Fountain","WR","IND",2,2,23,23,0,0,11.5,1,0.03,0.02,0.05,6.2
"165","J.J. Arcega-Whiteside","WR","PHI",3,1,37,60,3,0,20,0.62,0.04,0.02,0.05,6.2
"166","Javon Wims","WR","CHI",5,3,18,39,0,1,7.8,0.46,0.02,0.03,0.05,6.2
"167","Andre Roberts","WR","BUF",3,2,22,40,0,0,13.3,0.55,0.03,0.02,0.04,5
"168","Cody Hollister","WR","TEN",1,1,12,10,2,0,10,1.2,0.02,0.01,0.04,5
"169","Dede Westbrook","WR","JAC",1,1,4,4,0,0,4,1,0.01,0.02,0.04,5
"170","Jaydon Mickens","WR","TB",2,2,22,6,16,0,3,3.67,0.01,0.02,0.04,5
"171","Cam Sims","WR","WAS",2,2,17,6,11,0,3,2.83,0.01,0.02,0.03,3.8
"172","Diontae Spencer","WR","DEN",1,1,7,7,0,0,7,1,0.01,0.01,0.03,3.8
"173","Jakobi Meyers","WR","NE",1,1,7,7,0,0,7,1,0.01,0.01,0.03,3.8
"174","Trent Sherfield","WR","ARI",1,1,6,6,0,0,6,1,0.01,0.01,0.03,3.8
"175","Byron Pringle","WR","KC",1,1,23,10,13,0,10,2.3,0.01,0.01,0.02,2.5
"176","Malik Taylor","WR","GB",1,1,20,1,19,0,1,20,0,0.01,0.02,2.5
"177","Mohamed Sanu","WR","SF",1,1,9,5,4,0,5,1.8,0.01,0.01,0.02,2.5
"178","Alex Erickson","WR","CIN",1,1,9,3,6,0,3,3,0,0.01,0.01,1.2
"179","Lynn Bowden","WR","MIA",1,1,-1,-1,0,0,-1,1,0,0.01,0.01,1.2
"180","Pharoh Cooper","WR","CAR",1,1,12,8,4,0,8,1.5,0.01,0.01,0.01,1.2
"181","Tyrie Cleveland","WR","DEN",1,1,7,-2,9,0,-2,-3.5,0,0.01,0.01,1.2
"182","Brandon Zylstra","WR","CAR",0,0,0,0,0,0,0,0,0,0,0,0
"183","Donovan Peoples-Jones","WR","CLE",0,0,0,0,0,0,0,0,0,0,0,0
"184","Isaiah Zuber","WR","NE",0,0,0,0,0,0,0,0,0,0,0,0
"185","James Proche","WR","BAL",0,0,0,0,0,0,0,0,0,0,0,0
"186","Jason Moore","WR","LAC",0,0,0,0,0,0,0,0,0,0,0,0
"187","Joe Reed","WR","LAC",0,0,0,0,0,0,0,0,0,0,0,0
"188","JoJo Natson","WR","CLE",0,0,0,0,0,0,0,0,0,0,0,0
"189","Keelan Doss","WR","LV",0,0,0,0,0,0,0,0,0,0,0,0
"190","Kevin White","WR","SF",0,0,0,0,0,0,0,0,0,0,0,0
"191","Mack Hollins","WR","MIA",0,0,0,0,0,0,0,0,0,0,0,0
"192","Malik Turner","WR","DAL",0,0,0,0,0,0,0,0,0,0,0,0
"193","Penny Hart","WR","SEA",0,0,0,0,0,0,0,0,0,0,0,0
"194","Quez Watkins","WR","PHI",0,0,0,0,0,0,0,0,0,0,0,0
"195","Reggie Begelton","WR","GB",0,0,0,0,0,0,0,0,0,0,0,0
"196","Richie James","WR","SF",0,0,0,0,0,0,0,0,0,0,0,0
